JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl;
"Senior Python Developer - Waterloo,KLM Careers,""Waterloo, ON"",10 days ago,2021-06-05,Looking for either locals or those who would be willing to relocate (probably back to the office in 3-9 months). Client will cover relocation expenses.,,https://ca.indeed.com/rc/clk?jk=ba4e9060021dc9bb&fccid=f42bbfc261ca3e64&vjs=3";
"Mobility Tax Senior Staff,Ernst & Young,""Waterloo, ON"",15 days ago,2021-06-05,You’ll be part of a team with a wide variety of experiences and a supportive environment. Using cutting-edge technology and working with team-oriented…,,https://ca.indeed.com/rc/clk?jk=6f6b2236f822601e&fccid=1544766d4c2915b0&vjs=3";
"Senior Talent Management Consultant,Stantec,""Waterloo, ON"",30+ days ago,2021-06-05,We have a great opportunity for an experienced senior professional in Talent Management to further develop and implement solid talent management strategies for…,,https://ca.indeed.com/rc/clk?jk=a9894b8a0bd5bc70&fccid=f1582c464db8553b&vjs=3";
"Senior Analyst, ICFR and Regulatory Compliance,The Economical Insurance Group,""Waterloo, ON"",30+ days ago,2021-06-05,""The Senior Analyst, ERM Compliance plays a key role in executing against the compliance function mandate covering the assessment of compliance activities (i.e.…"",,https://ca.indeed.com/rc/clk?jk=a50eb4d984baaa5d&fccid=d33243ac6c394a10&vjs=3";
"Senior Buyer,Clearpath Inc.,""Kitchener, ON"",30+ days ago,2021-06-05,Experience: 5+ Years of relevant experience. Education: Degree or Diploma in relevant field. The company’s industry-leading self driving technology provides…,,https://ca.indeed.com/rc/clk?jk=8b77244681afee4f&fccid=270d80b299cde949&vjs=3";
"Senior Consultant, Internal Audit,Deloitte,""Kitchener, ON"",30+ days ago,2021-06-05,""As an Internal Auditor, you will be responsible for leading and executing fieldwork audits at various organizations specifically within the public sector,…"",,https://ca.indeed.com/rc/clk?jk=6ed5c01dc1f42de4&fccid=9e215d88a6b33622&vjs=3";
"Senior Manager, Sales, Systems and Processes,Geotab,""Waterloo, ON"",30+ days ago,2021-06-05,""Geotab’s open platform and Marketplace, offering hundreds of third-party solution options, allows both small and large businesses to automate operations by…"",,https://ca.indeed.com/rc/clk?jk=548cce1ec9330105&fccid=31921a4bf53a6026&vjs=3";
"Senior Developer, Test Data Management,The Economical Insurance Group,""Kitchener, ON"",5 days ago,2021-06-05,""Work with technology, business and security teams to identify, secure and protect personally identifiable information (PII) data across the enterprise test and…"",,https://ca.indeed.com/rc/clk?jk=36d587c9e618aa5a&fccid=d33243ac6c394a10&vjs=3";
"Senior Product Owner,BlackBerry,""Waterloo, ON"",30+ days ago,2021-06-05,Excellent communication skills (both written and verbal / presentation) for a variety of audiences (technical and non-technical) including senior leadership (C…,,https://ca.indeed.com/rc/clk?jk=cdc4c685d6218df0&fccid=a311d3f78a9495c2&vjs=3";
"Senior Product Designer,D2L,""Kitchener, ON"",30+ days ago,2021-06-05,""As a senior contributor on the Product Design team, you will. Strong presentation and facilitation skills";" you frame, structure, and present work clearly and…"",,https://ca.indeed.com/rc/clk?jk=41d43c3eba9a3384&fccid=d797af08f7544bdf&vjs=3"
"Senior Talent Development Partner,BlackBerry,""Waterloo, ON"",22 days ago,2021-06-05,""Experience facilitating training to small and large groups, from students to senior leaders. Providing support to global facilitators and managing learning…"",,https://ca.indeed.com/rc/clk?jk=6481e736a52748bb&fccid=a311d3f78a9495c2&vjs=3";
"Sr. Technical Support Specialist,opentext,""Waterloo, ON"",1 day ago,2021-06-05,Critical thinking is something that you’ll leverage on an ongoing basis as each customers situation is unique therefore you will need to be creative with your…,,https://ca.indeed.com/rc/clk?jk=dcc84074f8b86834&fccid=c908408e676247d6&vjs=3";
"Senior Angular Developer - Waterloo,KLM Careers,""Waterloo, ON"",10 days ago,2021-06-05,Looking for either locals or those who would be willing to relocate (probably back to the office in 3-9 months). Client will cover relocation expenses.,,https://ca.indeed.com/rc/clk?jk=9476bf699b10992c&fccid=f42bbfc261ca3e64&vjs=3";
"Senior Financial Analyst, Audit and Controls,Manulife,""Waterloo, ON"",16 days ago,2021-06-05,""The role of the Finance area is to support Manulife Bank in all financial aspects. The Finance area is responsible for financial reporting, capital management,…"",,https://ca.indeed.com/rc/clk?jk=0ff94dc91af2735a&fccid=1747adf6142beb48&vjs=3";
"Senior Technical Recruiter,Faire,""Kitchener, ON"",30+ days ago,2021-06-05,""Use your talents as a recruiter to manage the full cycle recruiting process, including the ability to negotiate and close candidates."",,https://ca.indeed.com/rc/clk?jk=c888d4d86a1628f4&fccid=f3a36f726f745c17&vjs=3";
"Senior Test Developer,Clearpath Inc.,""Kitchener, ON"",30+ days ago,2021-06-05,Experience: 5-8+ years of relevant DevOps/SW/Test Dev related experience. Education: Post-Secondary degree or diploma in Computer Systems or related field.,,https://ca.indeed.com/rc/clk?jk=d78ba11983c04f38&fccid=270d80b299cde949&vjs=3";
"Senior Logistics Manager,Ryder,""Kitchener, ON"",30+ days ago,2021-06-05,Collaborate with senior management and customers to determine their needs and expectations and operate the account to meet those demands.,,https://ca.indeed.com/rc/clk?jk=0981b917024b036c&fccid=22f3171d623451cc&vjs=3";
"Senior Financial Analyst, Distribution - Financial Planning and Analysis,Home Hardware Stores Limited,""St. Jacobs, ON"",1 day ago,2021-06-05,""Home Hardware is seeking a passionate, forward-thinking and dynamic finance individual with a proven track record to develop financial models and build planning…"",,https://ca.indeed.com/rc/clk?jk=24ee34a760461e7d&fccid=3d2d6be43c424e69&vjs=3";
"Sr. Network Security Administrator,opentext,""Waterloo, ON"",7 days ago,2021-06-05,General networking knowledge as relates to the OSI model with emphasis on the security layers and protocols relating to each.,,https://ca.indeed.com/rc/clk?jk=93be58da363dada5&fccid=c908408e676247d6&vjs=3";
"Sr. Director, HRBP,opentext,""Waterloo, ON"",3 days ago,2021-06-05,Use data predictively to drive workforce planning strategy in partnership with senior leaders by proactively identifying resourcing issues and making…,,https://ca.indeed.com/rc/clk?jk=1221a707c3581678&fccid=c908408e676247d6&vjs=3";
"Senior Inspector, Municipal,WSP,""Kitchener, ON"",10 days ago,2021-06-05,""Reporting to the Engineering Manager, this position will be responsible for inspection, examination, on-site work acceptance and preparation of reports for work…"",,https://ca.indeed.com/rc/clk?jk=51bd5dda6613fa9e&fccid=125e77713a321cdc&vjs=3";
"Senior Integration Developer,Cloud DX,""Kitchener, ON"",30+ days ago,2021-06-05,""Reporting to the Integration Developer Lead, you will work on different integration projects and be responsible for delivering accurate and timely data to…"",,https://ca.indeed.com/rc/clk?jk=b93d6b70ccbac585&fccid=fa840f44db35ebae&vjs=3";
"Senior Business Operations Analyst (Procure to Pay),opentext,""Waterloo, ON"",9 days ago,2021-06-05,Compile and reconcile monthly operating spend forecasts/budgets and share updated financial reports with senior management team.,,https://ca.indeed.com/rc/clk?jk=b0ca9098fabb719f&fccid=c908408e676247d6&vjs=3";
"Senior Construction Coordinator,University of Waterloo,""Waterloo, ON"",30+ days ago,2021-06-05,""The Senior Construction Coordinator will be responsible for the provision of contract administration, coordination and field review of projects under…"",,https://ca.indeed.com/rc/clk?jk=947553898ed372ef&fccid=5bcffa6277080afe&vjs=3";
"Senior CX Research Consultant,Sun Life Financial,""Waterloo, ON"",30+ days ago,2021-06-05,""Are you obsessed with understanding, improving and championing Client Experience? Are you able to articulate new research needs, connect the dots among data,…"",,https://ca.indeed.com/rc/clk?jk=acf74a51b9f3bf23&fccid=618943d89d0005a6&vjs=3";
"Senior Front-End Developer (Research & Innovation Lab-Waterloo),SOTI Inc.,""Waterloo, ON"",18 days ago,2021-06-05,""Write complex, high-performing code in Angular. Make use of tools like RXJS, NGRX and Flux pattern data stores. Good understanding and use of web APIs."",,https://ca.indeed.com/rc/clk?jk=8d6bba0f6383ceec&fccid=3d38508546395f15&vjs=3";
"Senior Engineering Manager,Carta,""Waterloo, ON"",8 days ago,2021-06-05,""From how we manage identity and access management (IAM), building our first public API platform, and making the development experience amazing for our engineers…"",,https://ca.indeed.com/rc/clk?jk=93baa90502518505&fccid=9e7dc185cb656f55&vjs=3";
"Senior FPGA Designer,Nuvation Research Corporation,""Waterloo, ON"",25 days ago,2021-06-05,""Nuvation is looking for a talented, innovative Senior FPGA Designer, who successfully combines architecture skills, deep technical expertise, and project…"",,https://ca.indeed.com/rc/clk?jk=f81e62da5bc9611f&fccid=e8433de777c6f2bd&vjs=3";
"Senior Technical Accountant,Miovision,""Kitchener, ON"",30+ days ago,2021-06-05,""Reporting to the Controller, this role is responsible for the technical accounting that is required for the preparation and distribution of monthly financial…"",,https://ca.indeed.com/rc/clk?jk=2dbc5d1fe4abd22b&fccid=53148e4b5a41623b&vjs=3";
"Senior Media Relations Manager,D2L,""Kitchener, ON"",30+ days ago,2021-06-05,""Strong leadership capabilities, with a proven track record of building strong relationships with senior executives. Develop briefs and support media training."",,https://ca.indeed.com/rc/clk?jk=25adb278a11a353e&fccid=d797af08f7544bdf&vjs=3";
"Senior MSBI Developer,opentext,""Waterloo, ON"",21 days ago,2021-06-05,Lead Business Intelligence SQL Developer. OpenText is looking for developer with a passion for data to join the Business Intelligence team in their Waterloo…,,https://ca.indeed.com/rc/clk?jk=fcff8de2afa5d79e&fccid=c908408e676247d6&vjs=3";
"Senior Mobile Developer, Design Systems,McAfee,""Waterloo, ON"",30+ days ago,2021-06-05,""Senior Mobile Developer, Design Systems. As a Senior Mobile Developer for McAfee’s Consumer Experience Design Systems, you will play a key foundational role in…"",,https://ca.indeed.com/rc/clk?jk=c07f4f351ec47277&fccid=800f11c47014effe&vjs=3";
"Senior Android Engineer,Faire,""Kitchener, ON"",30+ days ago,2021-06-05,""We build minimum viable products, release them weekly, A/B test customer-facing changes, listen to the data, and iterate. 4+ years of Android mobile experience."",,https://ca.indeed.com/rc/clk?jk=9a50f4bbf1057506&fccid=f3a36f726f745c17&vjs=3";
"Senior Data Engineer,Carta,""Waterloo, ON"",30+ days ago,2021-06-05,""The team is currently composed of professionals in Data Science/ Machine Learning space, advanced Data Analytics space, and Data Engineering."",,https://ca.indeed.com/rc/clk?jk=e0df9d8f94560ffd&fccid=9e7dc185cb656f55&vjs=3";
"Senior UX Designer,BlackBerry,""Waterloo, ON"",10 days ago,2021-06-05,""The BlackBerry IoT Business Unit combines BlackBerry’s core IoT assets across the company, including BTS (QNX, Jarvis, Certicom, Radar) and BlackBerry IVY."",,https://ca.indeed.com/rc/clk?jk=32c2b874b489b466&fccid=a311d3f78a9495c2&vjs=3";
"Senior Software Developer- Elasticsearch,Shinydocs,""Waterloo, ON"",30+ days ago,2021-06-05,""Shinydocs searches, organizes, and understands unstructured data at scale, providing actionable security, compliance, and business operations insights."",,https://ca.indeed.com/rc/clk?jk=f65e711f84894b41&fccid=6551d3ef63b6dd49&vjs=3";
"Senior Product Manager,Carta,""Waterloo, ON"",30+ days ago,2021-06-05,You will go deep on common account problems by understanding the way the data is modelled and use support tickets and usage data to prioritize high impact…,,https://ca.indeed.com/rc/clk?jk=426815dad5ee1118&fccid=9e7dc185cb656f55&vjs=3";
